# Rime user dictionary
#@/db_name	terra_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	1873
#@/user_id	657779a0-85c3-4e22-ba13-4b7898ef35e3
a5 	啊	c=2 d=1.98511 t=1040
kan4 	看	c=0 d=0.1 t=418
kan4 yi3 shang4 de5 	看以上的	c=1 d=1 t=419
kang1 fu4 	康復	c=0 d=0.100053 t=1731
kang1 fu4 bo2 shi4 	康復博士	c=1 d=1 t=86
kang1 fu4 shuo4 shi4 	康復碩士	c=1 d=1 t=83
kao3 shi4 	考試	c=3 d=2.81956 t=454
ke1 xue2 	科學	c=1 d=1 t=704
ke3 	可	c=0 d=0.1 t=1449
ke3 shi4 	可是	c=4 d=1.44857 t=796
ke3 tiao2 shi4 	可調試	c=1 d=1 t=1450
ke3 yi3 	可以	c=6 d=0.487567 t=1330
ke3 yi3 tui1 jian4 ma5 	可以推薦嗎	c=1 d=1 t=1242
ke3 yong4 xing4 	可用性	c=0 d=0.1 t=1095
ke4 	課	c=1 d=0.217298 t=1330
ke4 hu4 	客戶	c=3 d=1.94537 t=790
ke4 ren2 	客人	c=0 d=0.1 t=871
ken3 	肯	c=0 d=0.1 t=505
kong4 zhi4 	控制	c=0 d=0.157121 t=1288
kong4 zhi4 shu4 	控制術	c=3 d=2.92669 t=1188
lai2 	來	c=4 d=1.10194 t=1328
lai2 le5 	來了	c=0 d=0.1 t=309
lai2 shuo1 	來說	c=1 d=1 t=654
lai2 wei2 chi2 	來維持	c=1 d=1 t=558
lai2 zi4 	來自	c=0 d=0.1 t=193
lao3 gong1 	老公	c=1 d=1 t=1736
lao3 shi1 	老師	c=2 d=1.68045 t=1626
le5 	了	c=6 d=2.25906 t=1692
li3 	裏	c=2 d=1.02108 t=1434
li3 cheng2 li4 	裏成立	c=1 d=1 t=257
li3 lun4 	理論	c=3 d=0.398301 t=1532
li3 mei2 you3 	裏沒有	c=1 d=1 t=421
li4 ru2 	例如	c=1 d=1 t=177
li4 yong4 	利用	c=2 d=1.49678 t=814
li4 yong4 le5 	利用了	c=1 d=1 t=815
lian2 	連	c=2 d=1.4607 t=657
lian2 xi4 	聯繫	c=1 d=1 t=1263
lian2 xian4 	連線	c=1 d=1 t=1163
lian4 cheng2 	練成	c=1 d=1 t=1769
lian4 jie1 	鏈接	c=4 d=0.106903 t=1845
lian4 xi2 	練習	c=5 d=1.84851 t=1823
liang3 ge4 	兩個	c=1 d=1.05857 t=526
liang3 ge4 mu4 lu4 	兩個目錄	c=1 d=1 t=420
liang3 nian2 	兩年	c=1 d=1 t=596
liang3 tian1 	兩天	c=1 d=1 t=1672
liang3 xia4 	兩下	c=1 d=1 t=1811
liao3 jie3 	瞭解	c=1 d=1 t=779
lin2 	林	c=3 d=2.78458 t=1172
ling2 huo2 	靈活	c=3 d=1.54704 t=1386
ling3 dao3 zhe3 	領導者	c=1 d=1 t=338
liu4 	六	c=0 d=0.1 t=1458
long2 	龍	c=1 d=1 t=1306
lun2 zi5 	輪子	c=4 d=2.91918 t=913
ma5 	嗎	c=6 d=1.0599 t=1848
man2 hao3 	蠻好	c=0 d=0.1 t=1818
man2 hao3 de5 	蠻好的	c=1 d=1 t=1819
man4 hua2 	曼華	c=1 d=1 t=1434
mao2 	毛	c=1 d=1.09512 t=1430
mao3 jie1 	鉚接	c=0 d=0.1 t=1425
mao4 	貿	c=3 d=2.94092 t=1429
me5 	麼	c=0 d=0.1 t=178
mei2 	沒	c=1 d=1.08694 t=425
mei2 ban4 fa3 	沒辦法	c=0 d=0.1 t=171
mei2 bao1 han2 	沒包含	c=1 d=1 t=398
mei2 shuo1 	沒說	c=1 d=1 t=1583
mei2 wen4 ti2 	沒問題	c=1 d=1 t=1404
mei2 you3 	沒有	c=2 d=1.14289 t=436
mei2 you3 pi1 zhun3 	沒有批准	c=1 d=1 t=269
mei3 guo2 	美國	c=6 d=1.05296 t=1738
mei3 guo2 zong3 bu4 	美國總部	c=1 d=1 t=252
mei3 jin1 	美金	c=1 d=1 t=1443
mei3 nian2 	每年	c=3 d=1.39582 t=618
mei3 ren2 yu2 	美人魚	c=1 d=1 t=1360
mei3 tian1 	每天	c=1 d=1 t=1467
men2 pai4 	門派	c=1 d=1 t=243
men5 	們	c=3 d=0.864796 t=840
mi2 ni3 	迷你	c=3 d=2.15716 t=1410
mi2 ni3 jian4 pan2 	迷你鍵盤	c=1 d=1 t=1148
mi4 ma3 	密碼	c=2 d=1.99501 t=720
mian4 	麪	c=0 d=0.1 t=1784
ming2 	名	c=1 d=1.01703 t=1698
ming2 e2 	名額	c=1 d=1 t=1695
ming2 xian3 	明顯	c=0 d=0.1 t=1585
ming2 zi4 	名字	c=0 d=0.1 t=421
mo2 ni3 	模擬	c=0 d=0.130882 t=1330
mo2 ni3 ke3 yi3 ke4 	模擬可以課	c=3 d=2.98506 t=1333
mo2 ni3 ke3 yong4 xing4 	模擬可用性	c=1 d=1 t=1096
mo2 xing2 	模型	c=2 d=1.9802 t=870
mu4 biao1 	目標	c=3 d=1.04375 t=1712
mu4 di4 	目的	c=1 d=1 t=669
mu4 lu4 	目錄	c=2 d=1.01852 t=1173
mu4 qian2 	目前	c=2 d=0.914223 t=652
mu4 qian2 chi2 you3 	目前持有	c=1 d=1 t=380
mu4 qian2 wu2 fa3 	目前無法	c=1 d=1 t=452
na3 ge5 	哪個	c=1 d=1 t=1123
na3 yi1 tian1 	哪一天	c=1 d=1 t=298
na4 	那	c=1 d=1 t=1005
na4 bian5 	那邊	c=0 d=0.1 t=1033
na4 bian5 ye3 mei2 shi4 	那邊也沒事	c=1 d=1 t=1034
na4 me5 	那麼	c=1 d=1 t=876
nai4 ke4 	耐克	c=0 d=0.1 t=8
nai4 ke4 sheng4 dian3 	耐克盛典	c=1 d=1 t=9
nan2 de2 	難得	c=0 d=0.1 t=1674
nan2 du4 	難度	c=1 d=1 t=767
nei4 	內	c=3 d=2.02108 t=695
nei4 de5 biao1 zhun3 	內的標準	c=1 d=1 t=538
nei4 rong2 	內容	c=1 d=1.00006 t=1528
neng2 	能	c=2 d=1.01414 t=1165
neng2 gou4 	能夠	c=1 d=1 t=1502
neng2 li4 	能力	c=1 d=1 t=438
neng2 ren4 wei2 	能認爲	c=1 d=1 t=443
ni3 	你	c=6 d=2.0576 t=890
ni3 de5 	你的	c=1 d=0.133373 t=1469
ni3 gao3 hu2 tu2 	你搞糊塗	c=1 d=1 t=57
ni3 hao3 	你好	c=4 d=1.01346 t=1250
ni3 ke3 yi3 	你可以	c=2 d=1.89583 t=466
ni3 mei2 you3 	你沒有	c=1 d=1 t=437
ni3 ren4 wei2 	你認爲	c=1 d=1 t=308
ni3 shi4 	你是	c=1 d=0.60289 t=674
ni3 shi4 hui4 yuan2 	你是會員	c=1 d=1 t=513
ni3 shuo1 de5 	你說的	c=1 d=1 t=902
ni3 xu1 yao1 	你需要	c=1 d=1 t=181
ni3 ying1 gai1 	你應該	c=2 d=1.00172 t=1585
nian2 	年	c=21 d=5.42748 t=1678
nian2 zhi4 jin1 	年至今	c=1 d=1 t=103
nu3 li4 	努力	c=1 d=1 t=1575
ou1 feng1 	歐風	c=1 d=1 t=873
pa4 	怕	c=2 d=1.97531 t=1855
pai4 	派	c=0 d=0.1 t=1474
pai4 xi4 	派系	c=1 d=1 t=542
pang2 xie4 	螃蟹	c=1 d=1 t=1287
pao1 mo4 	泡沫	c=2 d=1.00116 t=1477
pei2 xun4 	培訓	c=21 d=4.15701 t=1745
pei2 xun4 de5 biao1 zhun3 	培訓的標準	c=1 d=1 t=378
pei2 xun4 ji1 gou4 	培訓機構	c=2 d=1.18268 t=585
pei2 xun4 mu4 biao1 	培訓目標	c=1 d=1 t=1493
pei2 xun4 nei4 rong2 	培訓內容	c=1 d=1 t=42
pei2 xun4 ri4 qi2 	培訓日期	c=1 d=1 t=120
pei2 xun4 yi3 wai4 	培訓以外	c=1 d=1 t=603
pi1 zhun3 	批准	c=1 d=1.02774 t=268
pi1 zhun3 de5 	批准的	c=1 d=1 t=261
pian2 yi5 	便宜	c=1 d=1 t=817
ping2 ban3 	平板	c=0 d=0.1 t=1377
ping2 gu1 	評估	c=1 d=1 t=46
ping2 heng2 	平衡	c=0 d=0.1 t=1288
ping2 heng2 kong4 zhi4 	平衡控制	c=1 d=1 t=1289
pu3 la1 ti2 	普拉提	c=50 d=8.30789 t=1777
pu3 la1 ti2 chuang2 	普拉提牀	c=5 d=4.76443 t=1080
pu3 la1 ti2 chuang2 chu1 ji2 	普拉提牀初級	c=2 d=1.88692 t=1079
pu3 la1 ti2 chuang2 gao1 ji2 	普拉提牀高級	c=1 d=1 t=1069
pu3 la1 ti2 fang1 fa3 	普拉提方法	c=2 d=1.00052 t=1661
pu3 la1 ti2 fang1 fa3 xie2 hui4 	普拉提方法協會	c=2 d=1.97531 t=345
pu3 la1 ti2 hang2 ye4 	普拉提行業	c=1 d=1 t=235
pu3 la1 ti2 jiao4 lian4 	普拉提教練	c=3 d=1.00677 t=1462
pu3 la1 ti2 li3 lun4 	普拉提理論	c=1 d=1 t=1533
pu3 la1 ti2 qi4 xie4 	普拉提器械	c=1 d=1 t=792
pu3 la1 ti2 ri4 	普拉提日	c=1 d=1.0802 t=1465
pu3 la1 ti2 xie2 hui4 	普拉提協會	c=1 d=1 t=994
pu3 lu3 shi4 	普魯士	c=1 d=1 t=1104
qi1 	期	c=0 d=0.1 t=188
qi2 ta1 	其它	c=1 d=1 t=178
qi2 xian4 	期限	c=1 d=1 t=593
qi2 zhong1 	其中	c=0 d=0.1 t=596
qi2 zhong1 bi4 xu1 	其中必須	c=1 d=1 t=597
qi4 xie4 	器械	c=7 d=1.71056 t=1568
qian1 	千	c=1 d=1 t=1444
qian1 duo1 	千多	c=1 d=1 t=1442
qian1 ming2 	簽名	c=1 d=1 t=1798
qian2 	前	c=2 d=1.10641 t=1757
qian2 tai2 	前臺	c=1 d=1 t=1382
qian2 yin3 	前引	c=1 d=1 t=1828
qian2 zhi1 cheng1 	前支撐	c=1 d=1 t=1279
qiang2 hua4 	強化	c=3 d=1.98045 t=1113
qiang2 shen1 jian4 ti3 	強身健體	c=1 d=1 t=1329
qin1 fan4 	侵犯	c=0 d=0.1 t=527
qin1 zi4 	親自	c=1 d=1 t=1664
qing1 chu3 	清楚	c=0 d=0.1 t=927
qing1 chu3 de5 	清楚的	c=1 d=1 t=928
qing1 li3 	清理	c=0 d=0.1 t=1190
qing1 li3 shen1 ti3 	清理身體	c=1 d=1 t=1191
qing3 	請	c=1 d=0.113501 t=1575
qing3 xin1 shang3 zhao4 pian4 	請欣賞照片	c=1 d=1 t=1576
qu1 	區	c=5 d=2.65717 t=691
qu1 	屈	c=1 d=1 t=1786
qu1 gan4 	軀幹	c=1 d=0.226818 t=1803
qu1 gan4 shen1 	軀幹伸	c=1 d=1 t=1804
qu1 yu4 	區域	c=1 d=1 t=549
quan2 dun1 	全蹲	c=1 d=1 t=1295
quan2 shi4 jie4 	全世界	c=1 d=1 t=547
quan2 ti3 	全體	c=1 d=1 t=234
que1 fa2 	缺乏	c=1 d=1 t=837
que4 shi2 	確實	c=1 d=1 t=455
ran2 hou4 	然後	c=1 d=1 t=1436
rang4 	讓	c=1 d=1 t=637
rang4 ni3 	讓你	c=0 d=0.1 t=856
rang4 ni3 de5 	讓你的	c=1 d=1 t=857
rang4 ta1 	讓他	c=0 d=0.1 t=998
rang4 ta1 yin4 	讓他印	c=1 d=1 t=999
rang4 wo3 	讓我	c=0 d=0.1 t=226
rang4 wo3 jian3 dan1 jie4 shao4 	讓我簡單介紹	c=1 d=1 t=227
re4 	熱	c=1 d=1 t=692
re4 dian4 chang3 	熱電廠	c=9 d=1.32284 t=1843
re4 qing2 	熱情	c=1 d=1 t=1471
ren2 	人	c=2 d=1.18731 t=811
ren2 sheng1 	人生	c=2 d=1.12246 t=1175
ren3 	忍	c=2 d=1.29523 t=1413
ren4 he2 	任何	c=1 d=1 t=242
ren4 ke3 	認可	c=4 d=2.98203 t=1027
ren4 wei2 	認爲	c=0 d=0.150916 t=442
ren4 wu4 	任務	c=2 d=1.99005 t=281
ren4 zheng4 	認證	c=7 d=1.36707 t=1021
ren4 zheng4 bi4 xu1 	認證必須	c=1 d=1 t=361
ren4 zheng4 jiao4 lian4 mu4 lu4 	認證教練目錄	c=1 d=1 t=387
ri4 	日	c=6 d=1.67054 t=1558
ri4 ben3 	日本	c=1 d=1 t=265
ri4 chang2 	日常	c=0 d=0.1 t=870
ri4 chang2 de5 	日常的	c=1 d=1 t=871
ri4 qi2 	日期	c=4 d=2.01849 t=1800
rong2 xing4 	榮幸	c=0 d=0.1 t=1613
rong3 chang2 	冗長	c=0 d=0.1 t=871
rong3 chang2 ke4 ren2 	冗長客人	c=1 d=1 t=872
ru2 guo3 	如果	c=10 d=1.24338 t=1258
ru2 guo3 ni3 shi4 	如果你是	c=1 d=1 t=675
ru2 guo3 xiang3 	如果想	c=1 d=1 t=357
ru3 ai2 	乳癌	c=0 d=0.1 t=1728
ru3 ai2 zhi1 hou4 	乳癌之後	c=1 d=1 t=1729
ruan3 jian4 	軟件	c=1 d=1 t=934
rui4 	瑞	c=0 d=0.1 t=1041
rui4 pu3 la1 ti2 	瑞普拉提	c=2 d=1.07847 t=1551
rui4 yi2 	瑞怡	c=8 d=1.72623 t=1776
rui4 yi2 pu3 la1 ti2 	瑞怡普拉提	c=2 d=1.00835 t=1097
sa1 	撒	c=0 d=0.1 t=55
sa1 tu2 ran2 da3 yin4 	撒突然打印	c=1 d=1 t=56
san1 	三	c=1 d=1 t=1663
san1 yue4 	三月	c=2 d=1.79852 t=121
shang1 liang5 	商量	c=1 d=1 t=895
shang4 	上	c=2 d=1.73345 t=390
shang4 hai3 	上海	c=1 d=1 t=1431
shang4 zhi1 	上肢	c=2 d=1.98896 t=1838
shang4 zhi1 fu4 zhong4 	上肢負重	c=1 d=1 t=1839
shen1 	伸	c=1 d=0.29205 t=1803
shen1 ceng2 	深層	c=1 d=1 t=1110
shen1 fen4 zheng4 	身份證	c=1 d=1 t=188
shen1 qing3 	申請	c=0 d=0.1 t=266
shen1 ti3 	身體	c=1 d=1.0802 t=1190
shen1 zhan3 	伸展	c=2 d=1.70411 t=1337
shen1 zhen4 	深圳	c=3 d=2.35439 t=1254
shen1 zhi2 	伸直	c=0 d=0.1 t=1479
shen2 me5 	什麼	c=1 d=1 t=1751
shen2 me5 shi2 hou5 	什麼時候	c=1 d=1 t=190
sheng1 ming2 	聲明	c=1 d=1 t=225
sheng1 wu4 li4 xue2 	生物力學	c=2 d=1.87372 t=980
sheng4 dian3 	盛典	c=0 d=0.1 t=8
shi2 	時	c=2 d=1.03096 t=1324
shi2 chang2 	時長	c=1 d=1 t=65
shi2 ji4 	實際	c=1 d=1 t=51
shi2 jian1 	時間	c=3 d=1.41022 t=1717
shi2 jian1 biao3 	時間表	c=1 d=1 t=19
shi2 jian4 	實踐	c=0 d=0.1 t=458
shi2 nian2 	十年	c=1 d=1 t=1449
shi2 yong4 	實用	c=2 d=1.015 t=1545
shi3 	使	c=1 d=1 t=678
shi3 yong4 	使用	c=2 d=1.01391 t=1532
shi4 	事	c=0 d=0.1 t=1033
shi4 	式	c=1 d=1 t=1273
shi4 	是	c=12 d=1.9145 t=1615
shi4 dan1 fo2 	是丹佛	c=1 d=1 t=81
shi4 gong1 kai1 	是公開	c=1 d=1 t=324
shi4 guo2 ji4 	是國際	c=1 d=1.07531 t=1465
shi4 guo2 ji4 pu3 la1 ti2 ri4 	是國際普拉提日	c=1 d=1 t=1466
shi4 he2 	適合	c=3 d=1.04852 t=1523
shi4 kuan1 	是寬	c=1 d=1 t=903
shi4 lai2 zi4 	是來自	c=2 d=1.01036 t=1108
shi4 ping2 	視屏	c=1 d=1 t=7
shi4 ta1 ren2 	是他人	c=1 d=1 t=8
shi4 ti2 gao1 	是提高	c=1 d=1 t=233
shi4 yi1 kao4 	是依靠	c=1 d=1 t=288
shi4 yi1 shi4 	試一試	c=1 d=1 t=1401
shou1 dao4 	收到	c=1 d=1.00275 t=882
shou1 dao4 le5 	收到了	c=3 d=2.01697 t=887
shou1 ru4 	收入	c=1 d=1 t=295
shou3 	手	c=1 d=0.982497 t=1479
shou3 bi4 	手臂	c=1 d=1 t=1276
shou3 ci4 	首次	c=2 d=1.72615 t=1668
shou3 pi1 	首批	c=1 d=1 t=61
shou3 shen1 zhi2 	手伸直	c=1 d=1 t=1480
shou3 xian1 	首先	c=1 d=1 t=226
shou3 zai4 	手在	c=1 d=1 t=1826
shou4 	受	c=1 d=1 t=1511
shu1 	書	c=1 d=1 t=113
shu4 	數	c=1 d=1 t=772
shu4 	術	c=0 d=0.1 t=1176
shu4 mei2 	樹莓	c=0 d=0.1 t=1474
shu4 mei2 pai4 	樹莓派	c=1 d=1 t=1475
shua1 	刷	c=1 d=1 t=1101
shua1 ping2 	刷屏	c=0 d=0.1 t=1462
shua1 ping2 ba1 	刷屏吧	c=1 d=1 t=1463
shuang1 tui3 	雙腿	c=1 d=1.11984 t=1313
shuang1 tui3 shen1 zhan3 	雙腿伸展	c=1 d=1 t=1206
shuang1 tui3 ti1 	雙腿踢	c=2 d=1.54064 t=1340
shuang1 xiang4 	雙向	c=2 d=1.98511 t=1200
shui3 ping2 mian4 	水平面	c=3 d=1.01713 t=1791
shuo1 ming2 	說明	c=0 d=0.1 t=629
shuo4 shi4 	碩士	c=0 d=0.1 t=82
si1 jiao4 	私教	c=1 d=1.07531 t=1524
si4 	四	c=1 d=1 t=1405
si4 zu2 	四足	c=1 d=1 t=1824
song3 jian1 	聳肩	c=1 d=1 t=1783
sou1 luo2 	蒐羅	c=1 d=1 t=1299
su1 zhou1 	蘇州	c=1 d=1 t=195
su2 hua4 	俗話	c=1 d=1 t=449
su4 liao4 	塑料	c=1 d=1.08511 t=1411
su4 liao4 he2 zi5 	塑料盒子	c=1 d=1 t=1412
suo3 	所	c=1 d=1 t=532
suo3 yi3 	所以	c=1 d=1 t=272
ta1 	他	c=1 d=0.915645 t=873
ta1 	她	c=4 d=2.52773 t=1741
ta1 	它	c=2 d=1.97045 t=315
ta1 de5 	他的	c=0 d=0.1 t=231
ta1 de5 	她的	c=1 d=1 t=1721
ta1 de5 	它的	c=1 d=1 t=374
ta1 de5 mu4 biao1 	他的目標	c=1 d=1 t=232
ta1 men5 	他們	c=4 d=2.05733 t=667
ta1 men5 	她們	c=1 d=1 t=1662
ta1 men5 de5 	他們的	c=1 d=1.04176 t=421
ta1 men5 de5 ming2 zi4 	他們的名字	c=1 d=1 t=422
ta1 men5 shi4 guo2 ji4 	他們是國際	c=1 d=1 t=413
ta1 ren2 	他人	c=0 d=0.1 t=7
ta1 shi4 	他是	c=1 d=1 t=370
ta1 wei4 shen2 me5 	他爲什麼	c=1 d=1 t=874
ta1 zhou1 wei2 	他周圍	c=1 d=1 t=816
ta3 jia4 	塔架	c=1 d=1 t=1704
tai2 qi3 	擡起	c=2 d=1.54352 t=1455
tai4 	太	c=1 d=1 t=157
teng2 tong4 	疼痛	c=1 d=1.00486 t=1710
ti1 	踢	c=1 d=1.01024 t=1810
ti2 chu1 lai2 	提出來	c=1 d=1 t=495
ti2 gao1 	提高	c=0 d=0.1 t=232
ti2 gong1 	提供	c=1 d=0.508608 t=352
ti2 gong1 di4 san1 fang1 ren4 zheng4 	提供第三方認證	c=1 d=1 t=353
ti3 tai4 	體態	c=1 d=1 t=30
ti3 yan4 	體驗	c=1 d=1 t=1780
tian1 e2 	天鵝	c=5 d=4.10957 t=1372
tian1 jin1 	天津	c=1 d=1 t=1699
tian1 qi4 	天氣	c=1 d=1 t=737
tiao2 shi4 	調試	c=0 d=0.1 t=1449
tiao3 zhan4 	挑戰	c=1 d=1 t=1274
tiao4 shui3 	跳水	c=3 d=2.2808 t=1373
ting1 bu5 jian4 	聽不見	c=1 d=1 t=1415
tong1 guo4 	通過	c=7 d=2.40895 t=775
tong2 yang4 	同樣	c=0 d=0.1 t=306
tong2 yang4 ru2 guo3 	同樣如果	c=1 d=1 t=307
tou2 	頭	c=0 d=0.1 t=1314
tou2 jing3 	頭頸	c=1 d=1.09753 t=1834
tou2 jing3 jian1 	頭頸肩	c=2 d=2.04605 t=1839
tou2 jing3 jian1 zu3 zhi1 	頭頸肩組織	c=1 d=1 t=1840
tou2 tai2 qi3 	頭擡起	c=1 d=1 t=1315
tou2 ying3 yi2 	投影儀	c=1 d=1 t=1411
tu2 di4 	徒弟	c=0 d=0.1 t=1620
tu2 ran2 	突然	c=0 d=0.1 t=55
tu2 yi1 	圖一	c=1 d=1 t=1622
tuan2 ke4 	團課	c=2 d=1.96561 t=1524
tuan2 yi1 	團醫	c=2 d=1.63445 t=106
tui1 	推	c=1 d=1 t=407
tui1 guang3 	推廣	c=2 d=1.00223 t=1660
tui1 jian4 	推薦	c=0 d=0.1 t=1241
tui3 	腿	c=1 d=0.902552 t=1373
tui3 jiao1 cha1 	腿交叉	c=1 d=1 t=1374
wai4 ke2 	外殼	c=1 d=1 t=1270
wai4 zhan3 	外展	c=1 d=1 t=1303
wan1 qu1 	彎曲	c=1 d=1 t=1485
wan2 	玩	c=1 d=1 t=1296
wan2 zhuan3 	玩轉	c=1 d=1 t=749
wan3 nian2 	晚年	c=1 d=1 t=1733
wan4 long2 	萬龍	c=2 d=1.99501 t=727
wan4 neng2 	萬能	c=1 d=1 t=165
wan4 yi2 	萬怡	c=1 d=1 t=740
wang3 	網	c=1 d=1 t=1099
wang3 qiu2 	網球	c=1 d=1 t=939
wang3 shang4 	網上	c=1 d=1.00024 t=1582
wang3 yuan3 	往遠	c=1 d=1 t=1472
wei1 guan1 	微觀	c=1 d=1 t=1137
wei1 xin4 	微信	c=1 d=1 t=1265
wei2 	爲	c=2 d=1.00403 t=1697
wei2 chi2 	維持	c=0 d=0.1 t=557
wei2 yi1 	唯一	c=1 d=1 t=260
wei2 zhun3 	爲準	c=1 d=1 t=717
wei4 	位	c=0 d=0.1 t=1317
wei4 le5 	爲了	c=3 d=1.00452 t=1659
wei4 shen2 me5 	爲什麼	c=6 d=2.47462 t=1753
wen2 ming2 	文明	c=1 d=1 t=1180
wen2 zhang1 	文章	c=1 d=1 t=1134
wen3 ding4 	穩定	c=2 d=1.03474 t=1807
wen4 da2 	問答	c=1 d=1 t=959
wen4 ti2 	問題	c=2 d=0.125898 t=922
wo3 	我	c=11 d=1.52746 t=1849
wo3 bang1 	我幫	c=1 d=1 t=889
wo3 de5 	我的	c=1 d=0.132712 t=1415
wo3 de5 er3 duo5 	我的耳朵	c=1 d=1 t=1416
wo3 dian4 nao3 	我電腦	c=1 d=1 t=926
wo3 jue2 de2 	我覺得	c=1 d=1 t=646
wo3 kan1 	我看	c=1 d=1 t=193
wo3 kan1 dao4 	我看到	c=1 d=1 t=485
wo3 mei2 ban4 fa3 	我沒辦法	c=1 d=1 t=172
wo3 men5 	我們	c=5 d=1.12982 t=1685
wo3 men5 de5 	我們的	c=0 d=0.1 t=528
wo3 men5 de5 zhi1 shi4 chan3 quan2 	我們的知識產權	c=1 d=1 t=529
wo3 men5 huan1 ying2 ni3 	我們歡迎你	c=1 d=1 t=676
wo3 shi4 	我是	c=1 d=1 t=185
wo3 shuo1 	我說	c=0 d=0.1 t=903
wo3 shuo1 de5 	我說的	c=1 d=1 t=904
wo3 xi1 wang4 	我希望	c=1 d=1 t=477
wo3 xi3 ai4 	我喜愛	c=1 d=1 t=480
wo3 xi3 huan1 	我喜歡	c=1 d=1 t=1243
wo3 xian4 zai4 	我現在	c=1 d=1 t=1588
wo3 xiang3 ni3 	我想你	c=0 d=0.1 t=527
wo3 xiang3 ni3 bu4 ying1 qin1 fan4 	我想你不應侵犯	c=1 d=1 t=528
wo3 xu1 yao1 	我需要	c=4 d=2.32076 t=1239
wo3 you3 	我有	c=0 d=0.1 t=493
wo3 you3 yi4 wu4 	我有義務	c=1 d=1 t=494
wu2 fa3 	無法	c=2 d=1.97545 t=1856
wu2 fa3 cun2 zai4 	無法存在	c=1 d=1 t=306
wu2 yi4 shi4 	無意識	c=1 d=1 t=1145
wu3 zhe3 	舞者	c=2 d=1.64082 t=1727
wu4 ren2 zi3 di4 	誤人子弟	c=1 d=1 t=450
xi1 	吸	c=1 d=1 t=1487
xi1 	西	c=1 d=1 t=1701
xi1 nan2 bu4 	西南部	c=1 d=1 t=1739
xi1 qi4 	吸氣	c=2 d=1.65705 t=1396
xi1 tie3 shi2 	吸鐵石	c=0 d=0.1 t=1867
xi1 wang4 	希望	c=0 d=0.1 t=476
xi3 ai4 	喜愛	c=0 d=0.1 t=479
xi3 huan1 	喜歡	c=0 d=0.1 t=1242
xia4 	下	c=2 d=0.1913 t=1812
xia4 ge4 	下個	c=1 d=1 t=1252
xia4 men2 	廈門	c=2 d=1.1764 t=1090
xia4 zhi1 	下肢	c=5 d=4.82428 t=976
xian3 shi4 qi4 	顯示器	c=1 d=1.00261 t=733
xian4 	限	c=1 d=1 t=1696
xian4 shi2 	現實	c=1 d=1 t=842
xian4 zai4 	現在	c=3 d=0.541296 t=1587
xiang1 gang3 	香港	c=1 d=1.14677 t=399
xiang1 gang3 di4 qu1 	香港地區	c=1 d=1 t=391
xiang1 jiao1 	香蕉	c=1 d=1 t=1420
xiang3 	想	c=1 d=1.00109 t=1259
xiang3 yong4 	想用	c=0 d=0.1 t=507
xiang3 yong4 wo3 men5 	想用我們	c=1 d=1 t=508
xiang4 	向	c=1 d=1.00584 t=808
xiang4 hou4 	向後	c=2 d=1.33635 t=1489
xiang4 hou4 juan3 	向後捲	c=1 d=1 t=1484
xiang4 pi2 guan3 	橡皮管	c=0 d=0.1 t=790
xiang4 pi2 guan3 pu3 la1 ti2 	橡皮管普拉提	c=1 d=1 t=791
xiang4 qian2 	向前	c=0 d=0.1 t=482
xiang4 qian2 fa1 zhan3 	向前發展	c=1 d=1 t=483
xiang4 xia4 	向下	c=1 d=1 t=1814
xiao3 	小	c=1 d=0.100867 t=1568
xiao3 de5 	小的	c=1 d=1 t=877
xiao3 dian3 	小點	c=0 d=0.1 t=908
xiao3 dian3 de5 	小點的	c=1 d=1 t=909
xiao3 mi3 	小米	c=1 d=1 t=1122
xiao3 qi4 xiang4 	小器相	c=1 d=1 t=137
xiao3 qi4 xie4 	小器械	c=1 d=1 t=1569
xiao3 shi2 	小時	c=2 d=1.00069 t=1522
xiao3 xiao3 	小小	c=1 d=1 t=504
xiao4 	肖	c=1 d=1 t=1397
xiao4 guo3 	效果	c=1 d=1 t=800
xie2 hui4 	協會	c=5 d=1.06099 t=1611
xie2 tiao2 	協調	c=1 d=1 t=1681
xie3 	寫	c=0 d=0.1 t=1586
xie3 de5 	寫的	c=1 d=1 t=753
xie3 gei3 	寫給	c=0 d=0.1 t=200
xie3 gei3 pu3 la1 ti2 jiao4 lian4 	寫給普拉提教練	c=1 d=1 t=201
xie3 xun2 huan2 	血循環	c=1 d=1 t=1190
xie4 xie5 	謝謝	c=9 d=1.11186 t=1858
xin1 shang3 	欣賞	c=0 d=0.1 t=1575
xin4 xin1 	信心	c=1 d=1 t=464
xing2 bu4 xing2 	行不行	c=1 d=1 t=1014
xing2 wei2 	行爲	c=1 d=1.0802 t=492
xing4 	性	c=3 d=1.66888 t=1140
xiong1 zhui1 	胸椎	c=1 d=1 t=1336
xiu1 gai3 	修改	c=2 d=1.74453 t=845
xiu4 	秀	c=2 d=1.80252 t=1171
xu1 yao1 	需要	c=4 d=1.28077 t=1758
xu4 	續	c=3 d=1.25941 t=1796
xuan1 bu4 	宣佈	c=1 d=1 t=1688
xuan1 chuan2 	宣傳	c=0 d=0.1 t=663
xuan2 zhuan3 	旋轉	c=11 d=1.88558 t=1790
